course_id,textbook_id,chapter_id,section_id,number,title,concept,description,example
4094960,1714928,9285866,6582915,1,Updated Section Title,Test Concept,Test Description,Test Example
5073099,2368295,3659009,7198766,1,Updated Section Title,Test Concept,Test Description,Test Example
3327562,4257136,1523995,137146,1,Updated Section Title,Test Concept,Test Description,Test Example
3195559,9229076,8058039,5032208,1,Updated Section Title,Test Concept,Test Description,Test Example
4900221,1706541,1997426,5290949,1,Updated Section Title,Test Concept,Test Description,Test Example
27039,4370889,3859507,6360712,1,Updated Section Title,Test Concept,Test Description,Test Example
4764813,6041494,2137403,4915860,1,Updated Section Title,Test Concept,Test Description,Test Example
5571021,2487490,5553010,3936723,1,Updated Section Title,Test Concept,Test Description,Test Example
3349103,7954987,4440855,8185029,1,Updated Section Title,Test Concept,Test Description,Test Example
1838361,6049084,5524264,6929682,1,Updated Section Title,Test Concept,Test Description,Test Example
5861225,2883196,6040298,1983317,1,Updated Section Title,Test Concept,Test Description,Test Example
5449471,7513648,5789082,498577,1,Updated Section Title,Test Concept,Test Description,Test Example
3241407,3017209,5012574,7188380,1,Updated Section Title,Test Concept,Test Description,Test Example
2746791,7601101,4596813,4547984,1,Updated Section Title,Test Concept,Test Description,Test Example
